hub,betweenness,pagerank,in_degree,out_degree,in_strength,out_strength,clustering,total_volume,avg_out_delay,degree,bridge_risk,bottleneck_score
IND000000AAL,0.0,0.0005421733265530826,1,1,2.4580419580419584,2.1666666666666665,0.0,55.0,2.7053980893420175,2,1.0,0.036865556651617754
IND000000AAS,0.003381613042682587,0.0005561849887900763,1,1,2.9761904761904763,1.8333333333333335,0.0,42.0,2.58045318610536,2,1.0,0.038634572337185355
IND000000AAZ,0.004049696008458895,0.0010234202651287542,2,2,8.619565217391305,5.474516908212561,0.3333333333333333,11.0,3.34193094629156,4,0.6666666666666667,0.06069792625742308
IND000000ABA,0.0006793550092519165,0.00037123968186526183,1,1,1.1153846153846154,1.0,1.0,35.0,1.1384615384615384,2,0.0,0.018857426880957207
IND000000ABD,0.0,0.0004992647594125786,1,1,1.1851851851851851,1.4285714285714286,0.0,170.0,1.5840831675646816,2,1.0,0.02598564769751959
IND000000ABG,0.0,0.00013204145916672388,0,1,0.0,2.090909090909091,0.0,29.0,4.762841229651574,1,1.0,0.04514990793454589
IND000000ACA,0.01148823684906159,0.0029824559203098723,12,9,21.783624014874015,15.740210466777803,0.10833333333333334,718.0,2.0440078384550757,21,0.8916666666666666,0.13866128421523205
IND000000ACB,0.3727147589506656,0.009253954105264969,41,48,63.01695480155324,77.25015574749881,0.03884711779448621,27470.0,1.865432232624626,89,0.9611528822055138,0.8619839781925946
IND000000ACK,0.0,0.00013204145916672388,0,1,0.0,2.2182539682539684,0.0,66.0,2.645811890130072,1,1.0,0.025351289951378805
IND000000ACN,0.0,0.00024429908107768684,1,1,2.4772727272727275,1.9642857142857144,0.0,34.0,2.2313722596476606,2,1.0,0.025925719972467783
IND000000ACO,0.0,0.00040600375186194184,1,0,2.1607142857142856,0.0,0.0,2.0,0.0,1,1.0,0.005842765920968589
IND000000ACS,0.0,0.0007138698702479706,4,0,12.154861111111112,0.0,0.5,25.0,0.0,4,0.5,0.01934623674232586
IND000000ACT,0.0,0.00013204145916672388,0,3,0.0,4.609943977591036,1.0,489.0,1.7970982623080785,3,0.0,0.024188387363575068
IND000000ADM,0.0,0.00046903994040702854,1,0,1.5714285714285714,0.0,0.0,19.0,0.0,1,1.0,0.0072787077584209265
IND000000ADV,0.0,0.00013204145916672388,0,1,0.0,1.5,0.0,44.0,1.5496120579509616,1,1.0,0.014874791470596383
IND000000AEL,0.0,0.0003052121565379236,1,1,1.7,1.5,0.0,190.0,1.8728924358303076,2,1.0,0.024688719085402162
IND000000AEM,0.0,0.00013204145916672388,0,2,0.0,3.388888888888889,0.0,112.0,2.408540329032071,2,1.0,0.025633583126486507
IND000000AET,0.0040470526037536345,0.0004987893948990938,1,1,1.826086956521739,2.9761904761904763,0.0,35.0,3.053000414160479,2,1.0,0.04237343361100893
IND000000AFF,0.0,0.00024429908107768684,1,1,3.1794871794871793,4.842105263157895,0.0,6.0,4.5964912280701755,2,1.0,0.048117314461715764
IND000000AFG,0.0,0.00013204145916672388,0,1,0.0,1.8255360623781676,0.0,2.0,1.8255360623781676,1,1.0,0.017252237865058265
IND000000AFJ,2.6522455236726173e-06,0.0005340661710105633,1,2,1.6785714285714286,3.407509157509157,1.0,30.0,1.154173802388088,3,0.0,0.024175949438184158
IND000000AFR,0.0,0.00013204145916672388,0,1,0.0,1.95,0.0,18.0,2.382035557035557,1,1.0,0.02259714574575551
IND000000AFS,0.0,0.00024429908107768684,1,0,9.416666666666666,0.0,0.0,1.0,0.0,1,1.0,0.0023918693185774748
IND000000AFT,0.004076130055511499,0.0016857898726052828,5,8,14.92614036290507,23.08888888888889,0.07142857142857142,284.0,2.243492400177504,13,0.9285714285714286,0.08640009330843623
IND110005AAA,0.0,0.0002904542261625086,1,0,2.6538461538461537,0.0,0.0,2.0,0.0,1,1.0,0.003380756120726572
IND110014AAA,0.0,0.002114221899249136,1,1,1.7738095238095237,3.272727272727273,0.0,21.0,3.1556965761511218,2,1.0,0.0744296792687438
IND110020AAB,0.0,0.0004327866595561822,1,1,3.0,2.430769230769231,0.0,19.0,3.076923076923077,2,1.0,0.037848260881592925
IND110024AAA,0.0006816270995838626,0.002354922118296074,3,1,7.563203463203463,1.7738095238095237,0.3333333333333333,80.0,2.0692460317460317,4,0.6666666666666667,0.07471029511953008
IND110030AAD,0.0,0.0003444095812061482,2,1,3.2444444444444445,1.5555555555555556,1.0,183.0,2.3144382476183947,3,0.0,0.03192990979517174
IND110035AAC,0.0,0.00032139954830082726,1,1,1.8888888888888888,1.5714285714285714,0.0,53.0,1.5773809523809523,2,1.0,0.021493658409560423
IND110037AAB,0.0,0.00019277099233167106,1,0,1.8333333333333333,0.0,0.0,47.0,0.0,1,1.0,0.0015451543434632745
IND110037AAK,0.0,0.0002848391333177825,1,1,1.5,1.6153846153846154,0.0,241.0,2.1423545148871947,2,1.0,0.027078874247602205
IND110037AAM,0.06783383151345086,0.005074383764701634,19,22,41.6444563462095,43.04436166402111,0.06236559139784946,4016.0,2.08700062231934,41,0.9376344086021505,0.2924568871227953
IND110039AAA,0.0,0.0002935355105090663,1,1,2.0384615384615383,2.9423076923076925,0.0,12.0,3.6996003996003997,2,1.0,0.040725769100076324
